Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
62.3,5878994966,104,56528797.8,56754986.0,47694486,62930486,2459115.2,cuMemcpyDtoHAsync_v2
19.9,1876963114,889,2111319.6,22909.0,2340,243894683,9486239.7,cuMemcpyHtoDAsync_v2
11.7,1105983909,4,276495977.3,11855636.5,3226909,1079045727,535061311.9,cuModuleLoadData
4.6,435694028,1423,306179.9,2180.0,400,104391423,3629553.8,cuMemAllocAsync
0.8,78221188,4,19555297.0,2595.0,2250,78213748,39105634.0,cudaDeviceSynchronize
0.2,20544434,10,2054443.4,1169551.5,80540,4918064,1909091.1,cuLibraryLoadData
0.1,9253537,361,25633.1,8230.0,3960,3031251,159370.4,cuLaunchKernel
0.1,6051181,5,1210236.2,135660.0,8040,5672372,2496113.0,cudaLaunchKernel
0.1,4952944,3,1650981.3,41220.0,630,4911094,2823413.3,cuKernelGetFunction
0.0,3364029,1423,2364.0,1070.0,550,62749,4025.4,cuMemFreeAsync
0.0,2637579,2846,926.8,400.0,160,27030,2386.9,cuStreamWaitEvent
0.0,2290902,9,254544.7,9930.0,160,1740205,563973.9,cudaFree
0.0,1889924,4,472481.0,486133.5,331909,585748,112149.4,cuModuleUnload
0.0,1879803,1394,1348.5,990.0,330,37500,1807.9,cuEventRecord
0.0,1689836,2846,593.8,270.0,120,22230,1088.3,cuEventCreate
0.0,848770,2846,298.2,230.0,110,6170,288.2,cuEventDestroy_v2
0.0,697886,172,4057.5,2665.0,2280,79359,6971.6,cuMemsetD8Async
0.0,443418,3,147806.0,212759.0,3410,227249,125260.3,cudaMalloc
0.0,360239,1628,221.3,150.0,70,7350,256.4,cuGetProcAddress_v2
0.0,33780,18,1876.7,280.0,250,23420,5432.8,cudaEventCreateWithFlags
0.0,17630,5,3526.0,3530.0,2290,4390,797.9,cuInit
0.0,9950,12,829.2,625.0,380,2550,598.5,cuLibraryGetKernel
0.0,9640,18,535.6,405.0,220,2800,589.4,cudaEventDestroy
0.0,8680,12,723.3,220.0,180,5470,1505.9,cudaStreamGetCaptureInfo_v2_v11030
0.0,2950,1,2950.0,2950.0,2950,2950,0.0,cudaEventQuery
0.0,2790,2,1395.0,1395.0,900,1890,700.0,cudaEventRecord
0.0,1490,1,1490.0,1490.0,1490,1490,0.0,cuCtxSetCurrent
0.0,940,4,235.0,180.0,130,450,148.9,cuModuleGetLoadingMode
0.0,740,2,370.0,370.0,210,530,226.3,cudaGetDriverEntryPoint_v11030
