Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Name
35.3,749.6346,3337,0.2246,0.0095,0.0028,97.2193,1.7015,ucopy_bf16
8.6,182.9816,2082,0.0879,0.0031,0.0014,0.8405,0.2029,bmul_f32
6.3,133.5823,89,1.5009,1.2322,0.6557,35.6001,3.6662,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
6.0,127.8891,12648,0.0101,0.0067,0.0015,0.4307,0.0296,bmul_bf16
5.1,107.8176,67120,0.0016,0.0015,0.0013,0.0047,0.0004,copy2d_bf16
4.1,86.0716,64,1.3449,1.3431,1.3357,1.3808,0.0098,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params)
3.6,75.5290,1536,0.0492,0.0488,0.0474,0.0516,0.0009,"<unnamed>::gdn_fwd_sub_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
3.1,66.4072,672,0.0988,0.0033,0.0023,1.5378,0.2259,ucopy_f32
2.7,57.3565,941,0.0610,0.0017,0.0012,0.5806,0.1747,badd_f32
2.1,45.2900,861,0.0526,0.0057,0.0024,0.3295,0.1060,fast_sum_f32
2.0,42.0973,9120,0.0046,0.0049,0.0037,0.0061,0.0007,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
1.9,40.1265,7349,0.0055,0.0013,0.0012,0.4419,0.0265,cast_f32_bf16
1.8,38.1032,3266,0.0117,0.0015,0.0012,0.4436,0.0516,cast_bf16_f32
1.3,27.8830,260,0.1072,0.0806,0.0795,1.8072,0.2128,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
1.3,26.5668,6624,0.0040,0.0015,0.0013,0.4194,0.0277,uexp_f32
1.2,26.3408,765,0.0344,0.0014,0.0013,0.2098,0.0692,usqr_f32
1.2,25.7590,240,0.1073,0.0037,0.0032,0.5435,0.2079,bdiv_f32
1.1,23.4119,48,0.4877,0.6264,0.2016,0.6627,0.2033,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
1.1,22.4265,1770,0.0127,0.0014,0.0012,0.4167,0.0577,affine_f32
1.0,20.3674,3392,0.0060,0.0034,0.0020,0.1167,0.0151,badd_bf16
0.8,16.5682,765,0.0217,0.0015,0.0013,0.4436,0.0824,urecip_f32
0.7,15.6332,600,0.0261,0.0013,0.0012,0.4150,0.0885,uneg_f32
0.7,15.3407,320,0.0479,0.0017,0.0014,0.4360,0.1268,urecip_bf16
0.7,15.1914,320,0.0475,0.0390,0.0078,0.0765,0.0256,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
0.6,13.3777,320,0.0418,0.0015,0.0013,0.3769,0.1105,uexp_bf16
0.6,13.1037,320,0.0409,0.0017,0.0013,0.3679,0.1076,uneg_bf16
0.6,12.9012,320,0.0403,0.0014,0.0013,0.3643,0.1066,affine_bf16
0.6,12.8634,3152,0.0041,0.0034,0.0013,0.0383,0.0019,bsub_f32
0.5,10.7023,8,1.3378,1.3386,1.3307,1.3468,0.0050,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.5,10.4333,240,0.0435,0.0016,0.0015,0.4242,0.1255,copy2d_f32
0.4,8.6187,128,0.0673,0.0673,0.0669,0.0682,0.0003,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
0.4,7.9995,3072,0.0026,0.0026,0.0024,0.0030,0.0002,ge_u32
0.4,7.7563,1536,0.0050,0.0050,0.0048,0.0056,0.0001,ampere_sgemm_32x128_nn
0.3,6.4709,32,0.2022,0.2000,0.1981,0.2298,0.0072,"void kiln_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
0.3,6.3107,1536,0.0041,0.0041,0.0029,0.0045,0.0002,bsub_bf16
0.3,5.3699,144,0.0373,0.0380,0.0349,0.0391,0.0013,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
0.2,4.1959,1536,0.0027,0.0027,0.0025,0.0030,0.0001,gt_u32
0.2,4.1767,3072,0.0014,0.0013,0.0013,0.0015,0.0000,cast_u8_bf16
0.1,1.9588,1536,0.0013,0.0013,0.0012,0.0014,0.0000,cast_u8_f32
0.1,1.5276,21,0.0727,0.0827,0.0028,0.1781,0.0403,is_u32_bf16
0.1,1.4912,96,0.0155,0.0154,0.0152,0.0179,0.0006,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.1,1.1691,765,0.0015,0.0014,0.0013,0.0028,0.0003,usqrt_f32
