Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
34.2,47486970129,27021,1757409.8,1758015.0,1263033,171510510,1186722.4,kiln/gdn/in_proj
10.0,13915912617,27020,515022.7,453181.0,397411,33967852,229326.1,kiln/gdn/out_proj
6.6,9183811278,36026,254921.8,248061.0,227980,3507450,35950.3,kiln/norm/pre_mlp
6.6,9145932702,36027,253863.3,245220.0,228501,33156069,196001.1,kiln/norm/pre_attn
6.5,9085410364,27020,336247.6,315281.0,296190,82920613,515310.8,kiln/gdn/gated_norm
6.5,9025221829,27021,334007.7,329231.0,305580,3528789,36384.6,kiln/gdn/gates
5.4,7521985212,27021,278375.5,235991.0,219340,43652477,391919.2,kiln/gdn/conv
5.3,7336815931,27021,271522.7,261320.0,244021,3850311,60681.4,kiln/gdn/qk_norm
3.4,4669142742,36026,129604.8,125430.0,118710,1490824,21096.8,kiln/mlp/gate
3.2,4383787799,36026,121684.0,117791.0,112980,1255633,20803.3,kiln/mlp/up
2.8,3921895873,36026,108862.9,104870.0,101230,2140115,21122.3,kiln/mlp/down
2.7,3727379965,72052,51731.8,24840.5,21210,39025635,159342.0,kiln/residual
1.8,2452917563,1125,2180371.2,2095285.0,2074866,7587761,591415.7,kiln/lm_head
1.2,1717046221,9006,190655.8,185261.0,177670,2860288,51244.4,kiln/proj/qkv
1.1,1480547705,27021,54792.5,51530.0,46580,895862,21757.5,kiln/gdn/head_expand
0.9,1260259723,26496,47564.2,47111.0,43270,572512,7101.8,kiln/attn/gdn/recurrent
0.5,677625987,9006,75241.6,73360.0,69530,414621,10601.2,kiln/proj/o
0.3,455445551,27021,16855.2,16130.0,14300,235291,5090.9,kiln/gdn/recur_prep
0.3,353552046,4197,84239.2,84350.0,70490,2096776,31538.0,kiln/attn/gdn/chunk
0.2,305939640,520,588345.5,581476.5,537181,933953,46927.3,kiln/attn/rope
0.2,269916021,520,519069.3,510921.0,473011,839033,51004.1,kiln/attn/qk_norm
0.1,185489732,27021,6864.7,1690.0,1340,721392,38676.9,kiln/gdn/qkv_split
0.1,134757740,512,263198.7,253750.5,238961,3352909,140741.0,kiln/attn/full/decode_fused
0.1,108876321,520,209377.5,30115.0,27091,12080993,1427876.5,kiln/kv/copy
0.0,42508317,8,5313539.6,782037.5,754522,37067560,12830573.6,kiln/attn/full/prefill
0.0,39218631,26496,1480.2,1400.0,950,30230,544.1,kiln/attn/gdn/precopy
0.0,29851292,520,57406.3,54960.5,50050,257041,18172.9,kiln/proj/qkv_split
0.0,15705261,27020,581.2,530.0,250,201160,1695.0,kiln/gdn/post_transpose
0.0,1695974,520,3261.5,850.0,680,157830,18968.7,kiln/attn/qkv_transpose
0.0,301261,512,588.4,440.0,280,10360,744.1,kiln/attn/q_fa_transpose
