NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,17413,17413,0,48,78623,1638.0,1632.0,1536,1760,71.7,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,17862637,34888.0,34880.0,34592,35424,129.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,15633347,30533.9,30784.0,27360,31201,869.8,"void kiln_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,850659,1661.4,1664.0,1631,1697,14.6,urecip_bf16
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,821824,1605.1,1600.0,1408,1728,20.6,uneg_bf16
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,820321,1602.2,1600.0,1504,1633,17.2,bmul_bf16
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,727753,1421.4,1408.0,1407,1441,15.8,uexp_bf16
kiln/attn/full/decode_fused,PushPop,17413,17413,512,512,712195,1391.0,1376.0,1375,1409,16.0,affine_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,40,1617224,40430.6,53681.0,15904,61441,19973.9,ucopy_bf16
kiln/attn/full/prefill,PushPop,17413,17413,8,8,642884,80360.5,78816.5,78144,83649,2518.1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
kiln/attn/full/prefill,PushPop,17413,17413,8,8,469313,58664.1,58384.0,56672,61472,1563.1,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
