NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ms),Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Kernel Name
,,18345,18345,0,9457,2048.1092,0.2166,0.0562,0.0027,97.1916,1.0235,ucopy_bf16
,,18345,18345,0,1536,103.3543,0.0673,0.0673,0.0669,0.0681,0.0002,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
,,18345,18345,0,1536,59.8316,0.0390,0.0389,0.0387,0.0395,0.0001,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
,,18345,18345,0,17752,59.6685,0.0034,0.0028,0.0013,0.1032,0.0089,bmul_f32
,,18345,18345,0,1536,58.5434,0.0381,0.0381,0.0376,0.0390,0.0003,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
,,18345,18345,0,7256,31.5725,0.0044,0.0024,0.0024,0.0433,0.0048,fast_sum_f32
,,18345,18345,0,7872,29.4500,0.0037,0.0028,0.0023,0.0668,0.0064,ucopy_f32
,,18345,18345,0,12208,27.3972,0.0022,0.0013,0.0012,0.0596,0.0029,cast_f32_bf16
,,18345,18345,0,14232,27.2208,0.0019,0.0013,0.0012,0.0553,0.0031,cast_bf16_f32
,,18345,18345,0,5696,22.5511,0.0040,0.0019,0.0016,0.0542,0.0063,bmul_bf16
,,18345,18345,0,14560,21.6034,0.0015,0.0013,0.0012,0.0528,0.0026,affine_f32
,,18345,18345,0,6856,16.4993,0.0024,0.0013,0.0012,0.0735,0.0085,badd_f32
,,18345,18345,0,3120,14.1472,0.0045,0.0036,0.0032,0.0672,0.0077,bdiv_f32
,,18345,18345,0,7800,12.2369,0.0016,0.0013,0.0012,0.0523,0.0031,uneg_f32
,,18345,18345,0,7008,12.0599,0.0017,0.0014,0.0012,0.0533,0.0034,uexp_f32
,,18345,18345,0,5720,10.5607,0.0018,0.0015,0.0013,0.0556,0.0038,urecip_f32
,,18345,18345,0,5720,9.9867,0.0017,0.0014,0.0013,0.0276,0.0030,usqr_f32
,,18345,18345,0,3072,8.6644,0.0028,0.0028,0.0025,0.0032,0.0002,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
,,18345,18345,0,65,8.5461,0.1315,0.1315,0.1302,0.1329,0.0006,fast_argmax_bf16
,,18345,18345,0,5720,8.0038,0.0014,0.0014,0.0012,0.0019,0.0001,usqrt_f32
,,18345,18345,0,3640,7.5448,0.0021,0.0017,0.0013,0.0536,0.0048,urecip_bf16
,,18345,18345,0,3640,7.0065,0.0019,0.0017,0.0013,0.0452,0.0041,uneg_bf16
,,18345,18345,0,3640,6.6189,0.0018,0.0014,0.0013,0.0463,0.0042,uexp_bf16
,,18345,18345,0,3640,6.4196,0.0018,0.0014,0.0013,0.0449,0.0040,affine_bf16
,,18345,18345,0,3120,6.2451,0.0020,0.0016,0.0015,0.0533,0.0045,copy2d_f32
,,18345,18345,0,3072,5.1331,0.0017,0.0017,0.0016,0.0018,0.0000,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
,,18345,18345,0,1056,4.8029,0.0045,0.0049,0.0037,0.0060,0.0007,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,18345,18345,0,24,4.4881,0.1870,0.1870,0.1862,0.1884,0.0005,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
,,18345,18345,0,3120,4.4150,0.0014,0.0014,0.0012,0.0017,0.0002,bmaximum_f32
,,18345,18345,0,1424,3.0808,0.0022,0.0016,0.0013,0.0051,0.0012,bsub_f32
,,18345,18345,0,24,2.3730,0.0989,0.0989,0.0982,0.0995,0.0003,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn
,,18345,18345,0,1560,2.1306,0.0014,0.0014,0.0013,0.0015,0.0000,ulog_f32
,,18345,18345,0,24,1.9086,0.0795,0.0795,0.0786,0.0803,0.0003,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(T1::Params)
,,18345,18345,0,384,1.5244,0.0040,0.0040,0.0028,0.0049,0.0008,badd_bf16
,,18345,18345,0,1040,1.1902,0.0011,0.0012,0.0011,0.0015,0.0000,const_set_f32
,,18345,18345,0,384,0.9869,0.0026,0.0025,0.0024,0.0029,0.0001,ge_u32
,,18345,18345,0,192,0.9525,0.0050,0.0049,0.0048,0.0053,0.0001,ampere_sgemm_32x128_nn
,,18345,18345,0,192,0.7825,0.0041,0.0041,0.0036,0.0043,0.0001,copy2d_bf16
,,18345,18345,0,520,0.7591,0.0015,0.0015,0.0014,0.0016,0.0000,ucos_f32
,,18345,18345,0,192,0.7555,0.0039,0.0041,0.0028,0.0043,0.0004,bsub_bf16
,,18345,18345,0,520,0.7478,0.0014,0.0014,0.0014,0.0016,0.0000,usin_f32
,,18345,18345,0,384,0.5195,0.0014,0.0013,0.0013,0.0014,0.0000,cast_u8_bf16
,,18345,18345,0,192,0.5093,0.0027,0.0026,0.0025,0.0029,0.0001,gt_u32
,,18345,18345,0,81,0.3683,0.0045,0.0028,0.0028,0.0236,0.0037,is_u32_bf16
,,18345,18345,0,48,0.2612,0.0054,0.0056,0.0046,0.0063,0.0008,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_nn_align8>(T1::Params)
,,18345,18345,0,192,0.2482,0.0013,0.0013,0.0012,0.0014,0.0000,cast_u8_f32
,,18345,18345,0,48,0.2426,0.0051,0.0050,0.0041,0.0061,0.0009,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align2>(T1::Params)
,,18345,18345,0,48,0.2178,0.0045,0.0045,0.0044,0.0046,0.0000,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
