Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
24.4,1464963529,3096,473179.4,181590.0,170991,884707922,15896846.5,:kiln/gdn/qk_norm
12.0,718647676,3096,232121.3,223069.0,204123,2099903,74882.2,:kiln/gdn/gates
11.2,675149712,3096,218071.6,211369.0,198248,3045398,79320.5,:kiln/gdn/gated_norm
7.7,460309227,3096,148678.7,103102.5,97046,126639493,2276402.6,:kiln/gdn/in_proj
7.1,424713614,1032,411544.2,394329.5,372126,5939231,199480.3,:kiln/attn/rope
4.8,290253693,4128,70313.4,68745.5,64485,873446,15741.7,:kiln/mlp/gate
4.7,283896234,4128,68773.3,66711.0,62291,1676468,32695.9,:kiln/mlp/up
4.5,270828072,4128,65607.6,64067.0,59528,931820,20344.5,:kiln/mlp/down
3.2,189978765,1024,185526.1,178364.5,167570,1895784,76268.7,:kiln/attn/full/decode_fused
2.3,138971128,3096,44887.3,43096.0,36403,1164628,31392.9,:kiln/gdn/head_expand
2.3,137041922,1032,132792.6,126297.5,119653,1301198,54942.4,:kiln/proj/qkv
2.0,121678547,8256,14738.2,14416.0,11024,803547,11274.6,:kiln/residual
2.0,119880097,3096,38721.0,36120.0,26064,961502,31467.1,:kiln/gdn/out_proj
1.7,103010778,3072,33532.2,31118.0,28974,3019910,58984.5,:kiln/attn/gdn/recurrent
1.6,96860842,4128,23464.4,23016.0,20355,73020,2803.2,:kiln/norm/pre_mlp
1.6,94463892,4128,22883.7,21259.0,19477,1961320,38439.2,:kiln/norm/pre_attn
1.5,87569307,3096,28284.7,26504.5,23874,800498,20910.3,:kiln/gdn/conv
1.3,78293487,3072,25486.2,24734.5,22334,797181,14259.1,:kiln/gdn/conv/update
0.7,42784019,1032,41457.4,40295.0,37417,239319,9545.6,:kiln/proj/qkv_split
0.7,42744508,1032,41419.1,40506.5,37619,160513,6311.2,:kiln/attn/qk_norm
0.7,39462000,3096,12746.1,12286.0,11454,58357,2020.4,:kiln/gdn/recur_prep
0.6,36106872,1032,34987.3,34277.5,27456,72275,3267.0,:kiln/proj/o
0.5,29787055,1032,28863.4,27491.0,25387,890242,26938.1,:kiln/kv/copy
0.4,23361174,8,2920146.8,481210.5,451646,20008998,6904953.7,:kiln/attn/full/prefill_initial
0.1,8401269,129,65126.1,58594.0,54340,846761,69494.6,:kiln/lm_head
0.1,7472226,3096,2413.5,1817.5,1469,205584,6198.1,:kiln/gdn/qkv_split
0.1,4354035,24,181418.1,267096.0,40566,317865,129273.8,:kiln/attn/gdn/chunk
0.1,4256177,3072,1385.5,1295.5,975,12016,507.0,:kiln/attn/gdn/precopy
0.1,3955627,3096,1277.7,578.0,409,317344,12391.9,:kiln/gdn/conv/layout
0.0,2596900,24,108204.2,94921.0,80226,371310,57046.1,:kiln/attn/gdn/chunk_prep
0.0,1699435,3096,548.9,473.0,343,13879,454.5,:kiln/gdn/post_transpose
0.0,822276,24,34261.5,27091.0,25224,189065,33091.8,:kiln/gdn/conv/prefill_update
0.0,689898,1032,668.5,467.0,324,19296,1605.4,:kiln/attn/qkv_transpose
0.0,417838,1024,408.0,388.0,264,5486,196.6,:kiln/attn/q_fa_transpose
