Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
30.4,151111303,72,2098768.1,107927.5,93360,132617432,15646473.6,:kiln/gdn/in_proj
17.9,89031391,3,29677130.3,85900.0,64732,88880759,51271847.5,:kiln/lm_head
12.7,63045659,8,7880707.4,290161.0,280714,61015215,21469584.6,:kiln/attn/full/prefill_initial
5.0,24853362,72,345185.6,242494.5,207113,4039852,557800.5,:kiln/gdn/gated_norm
4.9,24525387,72,340630.4,198133.0,178217,6379421,856055.0,:kiln/gdn/qk_norm
4.1,20478043,72,284417.3,253994.5,217165,489078,78297.8,:kiln/gdn/gates
3.3,16453804,96,171393.8,87379.0,67609,6964565,705457.0,:kiln/mlp/gate
2.7,13239821,24,551659.2,462701.5,394339,1809088,285593.8,:kiln/attn/rope
2.5,12326787,72,171205.4,37374.0,27896,6562700,769330.7,:kiln/gdn/conv
1.9,9541802,24,397575.1,202134.0,29812,6132253,1226104.2,:kiln/gdn/conv/prefill_update
1.7,8540401,24,355850.0,356810.0,299814,406315,19067.7,:kiln/attn/gdn/chunk
1.7,8511600,24,354650.0,165368.5,131194,2969752,573599.7,:kiln/proj/qkv
1.7,8414953,96,87655.8,78950.0,64198,215249,29439.4,:kiln/mlp/down
1.7,8273124,96,86178.4,81290.0,67589,137878,15649.3,:kiln/mlp/up
0.9,4596546,96,47880.7,23578.0,20341,1987101,201696.6,:kiln/norm/pre_attn
0.8,4065089,72,56459.6,44669.0,38367,793039,88208.3,:kiln/gdn/head_expand
0.8,3845451,96,40056.8,27943.5,22587,193633,39970.3,:kiln/norm/pre_mlp
0.7,3457625,72,48022.6,45065.5,37708,174151,18002.3,:kiln/gdn/out_proj
0.7,3379668,16,211229.3,194569.5,184395,321144,36094.6,:kiln/attn/full/decode_fused
0.7,3360645,192,17503.4,16341.5,11080,100298,8591.3,:kiln/residual
0.6,2737068,24,114044.5,112462.5,93397,141248,9557.7,:kiln/attn/gdn/chunk_prep
0.4,2168446,72,30117.3,2273.0,1713,587916,72709.8,:kiln/gdn/qkv_split
0.4,1787296,48,37235.3,34558.0,31629,97007,9885.9,:kiln/attn/gdn/recurrent
0.3,1666980,24,69457.5,567.5,413,241708,107953.0,:kiln/attn/qkv_transpose
0.3,1509796,48,31454.1,27970.5,25877,65764,7736.1,:kiln/gdn/conv/update
0.2,1169443,24,48726.8,44699.0,40698,133739,18374.9,:kiln/proj/qkv_split
0.2,1159072,24,48294.7,44457.0,39746,106434,13072.6,:kiln/attn/qk_norm
0.2,1034172,72,14363.5,804.0,524,411938,48917.6,:kiln/gdn/conv/layout
0.2,1022536,72,14201.9,13805.0,12051,20977,1646.5,:kiln/gdn/recur_prep
0.2,946856,24,39452.3,36516.5,29930,67746,9122.4,:kiln/proj/o
0.2,870848,24,36285.3,32043.0,29327,59706,8560.5,:kiln/kv/copy
0.0,99482,48,2072.5,1720.5,1225,9293,1315.9,:kiln/attn/gdn/precopy
0.0,87541,72,1215.8,543.0,344,5898,1156.9,:kiln/gdn/post_transpose
0.0,7102,16,443.9,432.5,320,588,87.0,:kiln/attn/q_fa_transpose
