NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ms),Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Kernel Name
:kiln/attn/full/decode_fused,PushPop,18569,18569,32,32,0.0517,0.0016,0.0016,0.0015,0.0019,0.0001,bmul_bf16
:kiln/attn/full/decode_fused,PushPop,18569,18569,32,32,0.0448,0.0014,0.0014,0.0014,0.0016,0.0001,affine_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,48,14.6092,0.3044,0.3583,0.1062,0.4492,0.1501,ucopy_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,10.7023,1.3378,1.3386,1.3307,1.3468,0.0050,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,5.0292,0.6286,0.6285,0.6262,0.6310,0.0016,ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_32x1_nn
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,1.4941,0.1868,0.1868,0.1859,0.1870,0.0003,urecip_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,1.4277,0.1785,0.1785,0.1780,0.1788,0.0003,bmul_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,1.2943,0.1618,0.1618,0.1614,0.1620,0.0002,uexp_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,1.2621,0.1578,0.1578,0.1572,0.1580,0.0002,uneg_bf16
:kiln/attn/full/prefill,PushPop,18569,18569,8,8,1.2520,0.1565,0.1565,0.1561,0.1567,0.0002,affine_bf16
:kiln/attn/gdn/chunk,PushPop,18569,18569,1536,1536,75.5290,0.0492,0.0488,0.0474,0.0516,0.0009,"<unnamed>::gdn_fwd_sub_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/attn/gdn/recurrent,PushPop,18569,18569,96,96,1.4912,0.0155,0.0154,0.0152,0.0179,0.0006,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
:kiln/kv/copy,PushPop,18569,18569,40,65584,101.4205,0.0015,0.0015,0.0013,0.0022,0.0000,copy2d_bf16
:kiln/kv/copy,PushPop,18569,18569,8,16,1.5234,0.0952,0.0949,0.0942,0.0967,0.0007,ucopy_bf16
:kiln/lm_head,PushPop,18569,18569,1,1,35.6001,35.6001,35.6001,35.6001,35.6001,0.0000,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
:kiln/lm_head,PushPop,18569,18569,4,4,7.2241,1.8060,1.8060,1.8048,1.8072,0.0012,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
:kiln/lm_head,PushPop,18569,18569,5,10,0.5774,0.0577,0.0033,0.0014,0.2902,0.1169,bmul_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.2676,0.0535,0.0057,0.0056,0.2449,0.1070,fast_sum_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.1364,0.0273,0.0014,0.0014,0.1308,0.0579,usqr_f32
:kiln/lm_head,PushPop,18569,18569,5,10,0.1215,0.0122,0.0016,0.0014,0.1071,0.0334,cast_bf16_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.1113,0.0223,0.0013,0.0013,0.1060,0.0468,cast_f32_bf16
:kiln/lm_head,PushPop,18569,18569,5,10,0.0144,0.0014,0.0014,0.0012,0.0020,0.0002,affine_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.0085,0.0017,0.0017,0.0017,0.0017,0.0000,badd_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.0076,0.0015,0.0015,0.0015,0.0015,0.0000,urecip_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.0072,0.0014,0.0014,0.0014,0.0015,0.0000,usqrt_f32
:kiln/lm_head,PushPop,18569,18569,5,5,0.0064,0.0013,0.0012,0.0012,0.0015,0.0001,const_set_f32
:kiln/mlp/down,PushPop,18569,18569,160,160,104.9481,0.6559,0.6504,0.6160,0.7833,0.0301,ucopy_bf16
:kiln/mlp/down,PushPop,18569,18569,32,32,42.5162,1.3286,1.3257,1.3176,1.3877,0.0156,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
:kiln/mlp/down,PushPop,18569,18569,128,128,9.6764,0.0756,0.0755,0.0752,0.0765,0.0003,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
:kiln/mlp/gate,PushPop,18569,18569,160,160,110.8187,0.6926,0.6840,0.6724,0.7903,0.0222,ucopy_bf16
:kiln/mlp/gate,PushPop,18569,18569,32,32,43.0943,1.3467,1.3448,1.3381,1.3808,0.0095,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params)
:kiln/mlp/gate,PushPop,18569,18569,128,128,10.3642,0.0810,0.0810,0.0801,0.0828,0.0005,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
:kiln/mlp/gate,PushPop,18569,18569,128,128,0.5864,0.0046,0.0030,0.0029,0.1959,0.0170,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
:kiln/mlp/up,PushPop,18569,18569,160,160,110.9227,0.6933,0.6851,0.6700,0.7923,0.0229,ucopy_bf16
:kiln/mlp/up,PushPop,18569,18569,32,32,42.9773,1.3430,1.3398,1.3357,1.3797,0.0099,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params)
:kiln/mlp/up,PushPop,18569,18569,128,128,10.2947,0.0804,0.0803,0.0795,0.0824,0.0005,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
:kiln/mlp/up,PushPop,18569,18569,128,128,0.3814,0.0030,0.0029,0.0029,0.0035,0.0001,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
:kiln/norm/pre_attn,PushPop,18569,18569,160,320,18.5636,0.0580,0.0033,0.0014,0.3053,0.1115,bmul_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,8.6041,0.0538,0.0058,0.0055,0.2577,0.0963,fast_sum_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,4.3567,0.0272,0.0014,0.0014,0.1330,0.0518,usqr_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,320,3.9194,0.0122,0.0016,0.0013,0.1108,0.0321,cast_bf16_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,3.5767,0.0224,0.0013,0.0013,0.1088,0.0421,cast_f32_bf16
:kiln/norm/pre_attn,PushPop,18569,18569,160,320,0.4658,0.0015,0.0014,0.0012,0.0022,0.0002,affine_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,0.2757,0.0017,0.0017,0.0016,0.0020,0.0001,badd_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,0.2434,0.0015,0.0015,0.0013,0.0019,0.0001,urecip_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,0.2335,0.0015,0.0014,0.0013,0.0017,0.0001,usqrt_f32
:kiln/norm/pre_attn,PushPop,18569,18569,160,160,0.2052,0.0013,0.0012,0.0012,0.0016,0.0001,const_set_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,320,18.5619,0.0580,0.0031,0.0014,0.3053,0.1117,bmul_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,8.6040,0.0538,0.0057,0.0055,0.2574,0.0964,fast_sum_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,4.3452,0.0272,0.0013,0.0013,0.1318,0.0517,usqr_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,320,3.8967,0.0122,0.0015,0.0014,0.1110,0.0319,cast_bf16_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,3.5813,0.0224,0.0013,0.0013,0.1092,0.0422,cast_f32_bf16
:kiln/norm/pre_mlp,PushPop,18569,18569,160,320,0.4643,0.0015,0.0014,0.0012,0.0022,0.0002,affine_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,0.2760,0.0017,0.0017,0.0017,0.0020,0.0001,badd_f32
:kiln/norm/pre_mlp,PushPop,18569,18569,160,160,0.2346,0.0015,0.0014,0.0013,0.0018,0.0001,urecip_f32
