NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,12615,12615,0,3048,1130953445,371047.7,368609.0,361665,436065,8373.3,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,12615,12615,0,18681,358213132,19175.3,10400.0,2880,105053943,770636.6,ucopy_bf16
,,12615,12615,0,12240,62279166,5088.2,5536.0,4128,6624,716.6,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,12615,12615,0,216,58858021,272490.8,1792.0,1440,927266,414150.7,bmul_bf16
,,12615,12615,0,176,28642337,162740.6,272080.0,4320,276864,131438.1,cast_bf16_f32
,,12615,12615,0,96,26173482,272640.4,1600.0,1568,838178,385331.8,urecip_bf16
,,12615,12615,0,96,25883592,269620.8,1600.0,1568,826754,381048.7,uexp_bf16
,,12615,12615,0,96,25265544,263182.8,1568.0,1536,807138,371950.8,uneg_bf16
,,12615,12615,0,96,25073735,261184.7,1568.0,1536,800643,369094.4,affine_bf16
,,12615,12615,0,3072,14173258,4613.7,4608.0,3872,4960,84.7,copy2d_bf16
,,12615,12615,0,72,494785,6872.0,6624.0,6432,7840,444.2,cast_f32_bf16
,,12615,12615,0,3,448769,149589.7,148544.0,147328,152897,2928.1,fast_argmax_bf16
,,12615,12615,0,3,378977,126325.7,3488.0,3424,372065,212816.5,is_u32_bf16
,,12615,12615,0,48,235553,4907.4,4864.0,4736,5472,159.8,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,12615,12615,0,24,158688,6612.0,6656.0,6368,6720,91.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align2>(T1::Params)
,,12615,12615,0,24,129568,5398.7,5408.0,5152,5504,63.6,badd_bf16
,,12615,12615,0,3,15008,5002.7,3168.0,3072,8768,3261.2,bmul_f32
,,12615,12615,0,3,7744,2581.3,1632.0,1568,4544,1700.0,ucos_f32
,,12615,12615,0,3,7008,2336.0,1664.0,1600,3744,1219.8,usin_f32
:kiln/attn/full/decode_fused,PushPop,12615,12615,16,32,31567675,986489.8,983667.0,980579,1000707,6054.1,ucopy_bf16
