Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
15.4,372399241,5585,66678.5,10304.0,2848,105088003,1409387.0,ucopy_bf16
13.6,328442806,13312,24672.7,24449.0,21600,26848,1128.3,"void Marlin<(int)256, (int)1, (int)8, (int)8, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
11.5,277443866,129,2150727.6,2150470.0,2145798,2156613,2278.6,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x64_32x4_nn_align8>(T1::Params)
9.3,225597030,3072,73436.5,73408.0,72864,74464,238.0,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_64x3_nn
8.8,211729737,6144,34461.2,45120.0,11808,47105,15785.3,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x6_nn_align8>(T1::Params)
5.0,119965527,3072,39051.3,39008.0,38272,40480,283.0,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nn
2.9,69291285,23865,2903.5,3008.0,1504,73728,3651.2,bmul_f32
2.7,64188054,17648,3637.1,1376.0,1312,277121,20806.9,cast_bf16_f32
2.5,61212724,10449,5858.2,6752.0,1792,22304,2008.5,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
2.5,61149189,168,363983.3,362593.0,361825,400353,5215.4,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.1,51340431,3072,16712.4,16736.0,16160,16832,57.1,"void <unnamed>::recurrent_gdn_fwd_kernel<(int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
2.1,50826173,20640,2462.5,1440.0,1280,63968,2688.9,cast_f32_bf16
2.0,47187252,12456,3788.3,3488.0,2496,76224,5614.1,ucopy_f32
1.4,33471735,1032,32433.9,31584.0,28288,65729,3497.8,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
1.4,32658654,21672,1507.0,1440.0,1312,31200,1380.6,affine_f32
1.1,27495878,9288,2960.4,2624.0,2592,44512,3638.7,fast_sum_f32
1.1,26470123,6192,4274.9,3840.0,3520,70273,5756.3,bdiv_f32
0.9,22640556,13416,1687.6,1408.0,1376,47328,3310.1,cast_f16_bf16
0.9,21449152,13416,1598.8,1440.0,1344,48192,2375.7,cast_bf16_f16
0.8,20332249,6144,3309.3,3392.0,2912,3840,313.9,void cutlass::Kernel2<cutlass_80_wmma_tensorop_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params)
0.8,19300207,129,149614.0,149696.0,145793,154752,1736.6,fast_argmax_bf16
0.8,19179279,9312,2059.6,1664.0,1440,58304,4732.8,bmul_bf16
0.8,18656368,104,179388.2,181313.0,170977,183360,3320.2,"void Marlin<(int)256, (int)4, (int)16, (int)4, (int)4, (int)8>(const int4 *, const int4 *, int4 *, const int4 *, int, int, int, int *)"
0.8,18332265,12384,1480.3,1408.0,1312,31136,1296.9,uneg_f32
0.7,17215979,11352,1516.6,1408.0,1344,3872,183.1,badd_f32
0.7,16564881,8280,2000.6,2112.0,1536,16672,1268.7,badd_bf16
0.7,16035149,9288,1726.4,1504.0,1440,31264,2560.3,usqr_f32
0.6,14994835,9288,1614.4,1568.0,1440,30881,1480.7,uexp_f32
0.6,14831628,8256,1796.5,1568.0,1472,50528,3092.4,uexp_bf16
0.6,14739744,8256,1785.3,1536.0,1408,49312,3010.3,uneg_bf16
0.6,14607367,8256,1769.3,1568.0,1472,51041,3133.1,urecip_bf16
0.6,14101392,8256,1708.0,1536.0,1408,48992,2999.5,affine_bf16
0.6,13494656,9288,1452.9,1472.0,1376,2112,47.2,usqrt_f32
0.5,12304258,6144,2002.6,1968.5,1728,2432,241.0,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
0.4,10056021,6192,1624.0,1536.0,1440,31296,1825.0,urecip_f32
0.4,9530491,6192,1539.2,1568.0,1344,1888,158.0,bmaximum_f32
0.2,5863093,3072,1908.6,1888.0,1792,2208,75.2,"void <unnamed>::kiln_conv1d_update_k4_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, float *, float *, int, int)"
