Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
17.9,2401897323,11469,209425.2,203601.0,187251,1906216,34743.7,:kiln/gdn/gates
17.3,2318420686,11469,202146.7,195551.0,178650,2172816,41575.0,:kiln/gdn/gated_norm
15.0,2011729528,11469,175405.8,169880.0,154220,2716327,35582.2,:kiln/gdn/qk_norm
7.4,987338813,11469,86087.6,83740.0,77490,1379123,17941.9,:kiln/gdn/in_proj
6.4,856620769,15291,56021.2,52710.0,46340,582112,23591.1,:kiln/mlp/up
6.4,853760043,15291,55834.2,52790.0,48321,358941,21120.1,:kiln/mlp/gate
5.9,794572866,15291,51963.4,49180.0,44901,353731,22138.2,:kiln/mlp/down
3.7,497322903,11469,43362.4,41970.0,31860,313881,8298.1,:kiln/gdn/head_expand
3.5,470589644,30582,15387.8,15200.0,11330,317171,5427.2,:kiln/residual
3.1,409837265,3823,107203.1,103261.0,92060,1424783,28308.0,:kiln/proj/qkv
2.9,393266672,11469,34289.5,33390.0,21680,366561,8186.8,:kiln/gdn/out_proj
2.2,299653011,11469,26127.2,17710.0,16290,1395034,92358.9,:kiln/gdn/conv
2.1,277874099,15291,18172.4,17330.0,15480,220460,6750.0,:kiln/norm/pre_mlp
1.8,246761541,15292,16136.6,15430.0,13710,218340,6081.9,:kiln/norm/pre_attn
1.8,241610716,11373,21244.2,20720.0,18350,262010,4430.2,:kiln/attn/gdn/recurrent
0.9,117079061,3822,30632.9,29750.0,20930,310191,7542.0,:kiln/proj/o
0.8,109173229,11469,9519.0,9150.0,8110,279781,3973.8,:kiln/gdn/recur_prep
0.3,36305622,11469,3165.5,1690.0,1320,215571,16316.1,:kiln/gdn/qkv_split
0.2,23602907,477,49482.0,47750.0,44070,297401,12090.7,:kiln/lm_head
0.2,21671808,11373,1905.5,1660.0,880,182601,2152.7,:kiln/attn/gdn/precopy
0.1,7310349,11469,637.4,550.0,260,209581,2610.1,:kiln/gdn/post_transpose
0.0,6137611,96,63933.4,61850.5,54520,117430,8882.0,:kiln/attn/gdn/chunk_prep
0.0,2459621,96,25621.1,24500.5,22700,54580,3952.8,:kiln/attn/gdn/chunk
