Time (%),Total Time (ms),Instances,Avg (ms),Med (ms),Min (ms),Max (ms),StdDev (ms),Range
62.0,602.0881,40,15.0522,0.1945,0.0177,78.4595,30.2364,:kiln/kv/copy
8.5,82.7601,1536,0.0539,0.0210,0.0187,1.6865,0.1644,:kiln/attn/gdn/chunk
5.5,53.3220,160,0.3333,0.1693,0.1571,25.6364,2.0134,:kiln/norm/pre_attn
5.1,49.6075,320,0.1550,0.0181,0.0132,0.7100,0.2381,:kiln/residual
4.7,45.8522,160,0.2866,0.2139,0.1584,0.9796,0.2434,:kiln/norm/pre_mlp
4.0,38.8817,8,4.8602,0.2683,0.2564,36.9035,12.9475,:kiln/attn/full/prefill
2.7,25.8948,160,0.1618,0.0571,0.0418,0.8941,0.2668,:kiln/mlp/up
2.3,22.2336,32,0.6948,0.9251,0.1704,1.2447,0.3637,:kiln/attn/full/decode_fused
1.9,18.6047,160,0.1163,0.0573,0.0444,9.2769,0.7293,:kiln/mlp/gate
1.1,10.7187,5,2.1437,0.2082,0.2053,9.8619,4.3146,:kiln/lm_head
0.9,9.1126,160,0.0570,0.0554,0.0495,0.1213,0.0079,:kiln/mlp/down
0.6,5.8950,40,0.1474,0.1480,0.1223,0.1862,0.0114,:kiln/proj/qkv
0.4,3.7959,40,0.0949,0.1216,0.0518,0.1312,0.0335,:kiln/proj/o
0.2,2.4123,96,0.0251,0.0234,0.0212,0.1364,0.0118,:kiln/attn/gdn/recurrent
0.0,0.2230,96,0.0023,0.0020,0.0017,0.0094,0.0012,:kiln/attn/gdn/precopy

