rank,range,time_percent,total_time_ns,instances,avg_ns,median_ns
1,:kiln/gdn/in_proj,23.1,228914511,408,561065.0,90250.0
2,:kiln/gdn/gates,10.7,105948063,408,259676.6,227956.0
3,:kiln/gdn/gated_norm,9.2,91548338,408,224383.2,214210.5
4,:kiln/gdn/qk_norm,8.9,87826282,408,215260.5,180825.5
5,:kiln/attn/rope,6.0,59731431,136,439201.7,383111.0
6,:kiln/lm_head,6.0,59549075,17,3502886.8,57090.0
7,:kiln/attn/full/prefill_initial,5.7,56796102,8,7099512.8,501986.5
8,:kiln/mlp/gate,4.4,43873712,544,80650.2,58655.0
9,:kiln/mlp/up,4.0,39610691,544,72813.8,57645.0
10,:kiln/mlp/down,3.4,33305536,544,61223.4,54730.0
