Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
19.7,2548074952,11591,219832.2,214089.0,197829,2658135,38588.1,PushPop,:kiln/gdn/gates
19.4,2508127501,11591,216385.8,208619.0,175005,2974824,58676.5,PushPop,:kiln/gdn/gated_norm
16.4,2120813472,11591,182970.7,179069.0,163949,929635,22604.7,PushPop,:kiln/gdn/qk_norm
8.1,1042053902,11591,89902.0,86879.0,78549,3249763,34669.0,PushPop,:kiln/gdn/in_proj
4.0,517511022,30906,16744.7,16220.0,11870,853455,6583.9,PushPop,:kiln/residual
3.9,509051477,11591,43917.8,42320.0,32320,889465,10273.6,PushPop,:kiln/gdn/head_expand
3.8,493113632,15453,31910.5,30660.0,20560,223399,5101.1,PushPop,:kiln/mlp/gate
3.6,468125726,15453,30293.5,29240.0,18129,246889,5742.4,PushPop,:kiln/mlp/up
3.4,438082725,15453,28349.4,26930.0,19829,4816694,40525.7,PushPop,:kiln/mlp/down
3.3,422831152,11590,36482.4,35480.0,23970,255918,5815.1,PushPop,:kiln/gdn/out_proj
2.3,300023933,15453,19415.3,18350.0,16560,2522386,22313.7,PushPop,:kiln/norm/pre_mlp
2.3,297077506,15454,19223.3,18410.0,15650,138669,3734.6,PushPop,:kiln/norm/pre_attn
2.2,287182416,11591,24776.3,20330.0,17750,5451590,61658.5,PushPop,:kiln/gdn/conv
2.2,279057755,3863,72238.6,70510.0,49009,292759,10845.2,PushPop,:kiln/proj/qkv
2.0,261493698,11495,22748.5,22020.0,19710,193929,3581.4,PushPop,:kiln/attn/gdn/recurrent
1.0,127359246,3863,32969.0,31910.0,23410,146209,4236.6,PushPop,:kiln/proj/o
0.9,116042274,11591,10011.4,9450.0,8260,183149,2669.6,PushPop,:kiln/gdn/recur_prep
0.5,65401242,768,85157.9,60130.0,54870,392558,80275.4,PushPop,:kiln/attn/gdn/chunk_prep
0.2,31782546,768,41383.5,25800.0,22850,210519,35007.3,PushPop,:kiln/attn/gdn/chunk
0.2,26663412,11591,2300.4,1790.0,1410,100369,4725.7,PushPop,:kiln/gdn/qkv_split
0.2,26085032,482,54118.3,49650.0,44660,1396682,61912.6,PushPop,:kiln/lm_head
0.2,20561612,11495,1788.7,1710.0,970,11240,643.8,PushPop,:kiln/attn/gdn/precopy
0.1,7306496,11591,630.4,560.0,280,10470,300.4,PushPop,:kiln/gdn/post_transpose
