Generating SQLite file post392-decode.sqlite from post392-decode.nsys-rep
Processing [post392-decode.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
17.8,2407597657,11434,210564.8,206798.5,187789,2235136,38642.4,PushPop,:kiln/gdn/gates
17.3,2339518748,11435,204592.8,200378.0,181799,2171907,34357.2,PushPop,:kiln/gdn/gated_norm
14.9,2013407045,11434,176089.5,172479.0,156740,976474,25772.4,PushPop,:kiln/gdn/qk_norm
7.5,1013265641,11434,88618.6,86534.0,80029,630147,13286.6,PushPop,:kiln/gdn/in_proj
6.4,863335132,15247,56623.3,53809.0,49219,881255,19775.5,PushPop,:kiln/mlp/gate
6.3,847239879,15247,55567.6,52780.0,47050,528187,20639.4,PushPop,:kiln/mlp/up
5.9,793873341,15247,52067.5,49359.0,44920,580616,20460.9,PushPop,:kiln/mlp/down
3.8,507599301,11434,44393.9,42910.0,32820,249278,6608.2,PushPop,:kiln/gdn/head_expand
3.5,476473161,30494,15625.1,15370.0,11570,501497,5768.8,PushPop,:kiln/residual
3.1,417164754,3812,109434.6,106455.0,88139,619926,18566.5,PushPop,:kiln/proj/qkv
3.0,402966277,11435,35239.7,34410.0,22240,277908,6782.8,PushPop,:kiln/gdn/out_proj
2.2,292284321,15247,19170.0,18280.0,16379,450537,7326.7,PushPop,:kiln/norm/pre_mlp
2.1,284773154,11434,24905.8,18340.0,17050,1207992,79610.2,PushPop,:kiln/gdn/conv
1.9,259306977,15246,17008.2,16140.0,14349,835285,9453.4,PushPop,:kiln/norm/pre_attn
1.8,248547129,11362,21875.3,20940.0,18650,1512241,15404.7,PushPop,:kiln/attn/gdn/recurrent
0.9,121545905,3812,31885.1,30860.0,21350,229799,7390.4,PushPop,:kiln/proj/o
0.8,113353444,11434,9913.7,9490.0,8359,275399,2975.1,PushPop,:kiln/gdn/recur_prep
0.2,33169254,11434,2900.9,1690.0,1280,211219,14090.7,PushPop,:kiln/gdn/qkv_split
0.2,24237144,477,50811.6,49749.0,43990,83159,4319.3,PushPop,:kiln/lm_head
0.2,22540559,11362,1983.9,1740.0,940,28270,1344.5,PushPop,:kiln/attn/gdn/precopy
0.1,8789191,11435,768.6,610.0,299,26499,972.2,PushPop,:kiln/gdn/post_transpose
0.0,4568437,72,63450.5,62730.0,56680,76119,5187.9,PushPop,:kiln/attn/gdn/chunk_prep
0.0,1809104,72,25126.4,24480.0,23390,33640,2138.5,PushPop,:kiln/attn/gdn/chunk

