
NOTICE: Existing SQLite export found: /workspace/phase6-profile/prefill-20245-main.sqlite
        It is assumed file was previously exported from: /workspace/phase6-profile/prefill-20245-main.nsys-rep
        Consider using --force-export=true if needed.

Processing [/workspace/phase6-profile/prefill-20245-main.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/nvtx_pushpop_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
46.9,355695501,1954,182034.5,68894.5,52460,3724498,571955.8,:kiln/attn/gdn/chunk_prep
19.0,144115683,16,9007230.2,85250.0,75679,142784060,35673823.0,:kiln/gdn/in_proj
14.6,110375319,1954,56486.9,15395.0,12740,1511165,194514.2,:kiln/attn/gdn/chunk
7.1,53957432,5,10791486.4,320559.0,304149,52691486,23422812.9,:kiln/attn/full/prefill_initial
6.1,46254887,16,2890930.4,330828.5,299059,41236524,10225527.1,:kiln/gdn/conv
1.4,10938592,16,683662.0,205889.5,186139,7659424,1861100.2,:kiln/gdn/qk_norm
1.1,8473666,20,423683.3,108610.0,90110,6355439,1396305.0,:kiln/mlp/gate
1.0,7909744,15,527316.3,265769.0,249399,3699118,886627.5,:kiln/gdn/gated_norm
0.6,4496276,16,281017.3,272799.5,254440,399699,34894.9,:kiln/gdn/gates
0.4,3380998,5,676199.6,513858.0,494938,1329635,365736.6,:kiln/attn/rope
0.3,2151173,20,107558.6,108690.0,88000,122430,9275.9,:kiln/mlp/up
0.3,2111154,20,105557.7,104784.5,87679,130669,9627.5,:kiln/mlp/down
0.3,1902264,21,90584.0,21490.0,18240,1440305,309298.8,:kiln/norm/pre_attn
0.1,981458,16,61341.1,59595.0,50530,82259,8452.9,:kiln/gdn/qkv_split
0.1,892808,16,55800.5,43105.0,33840,270299,57393.7,:kiln/gdn/head_expand
0.1,850347,40,21258.7,20329.5,14250,39120,5166.2,:kiln/residual
0.1,767409,5,153481.8,142829.0,139520,198840,25412.7,:kiln/proj/qkv
0.1,547108,15,36473.9,29750.0,26750,97449,18132.2,:kiln/gdn/out_proj
0.1,518368,5,103673.6,69449.0,65010,246899,80100.7,:kiln/kv/copy
0.1,515358,20,25767.9,21845.0,19710,54250,8561.7,:kiln/norm/pre_mlp
0.0,318179,5,63635.8,63899.0,59710,67390,3164.9,:kiln/attn/qkv_transpose
0.0,247969,5,49593.8,49740.0,45150,54940,4333.1,:kiln/proj/qkv_split
0.0,239089,5,47817.8,27560.0,25260,131619,46857.9,:kiln/proj/o
0.0,189369,16,11835.6,10599.5,9590,19010,2754.8,:kiln/gdn/recur_prep
0.0,187820,5,37564.0,34520.0,32300,45850,6079.9,:kiln/attn/qk_norm
0.0,18150,15,1210.0,1030.0,530,2830,570.2,:kiln/gdn/post_transpose

