
NOTICE: Existing SQLite export found: profile_armA.sqlite
        It is assumed file was previously exported from: profile_armA.nsys-rep
        Consider using --force-export=true if needed.

Processing [profile_armA.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/nvtx_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
15.3,1856535140,420,4420321.8,4423243.0,3610461,5555410,196805.6,PushPop,:kiln/gdn/gates
15.2,1837697874,420,4375471.1,4381059.0,3565483,5565257,181227.0,PushPop,:kiln/gdn/gated_norm
12.3,1494427612,420,3558161.0,3555950.0,2938096,6297686,189407.1,PushPop,:kiln/gdn/qk_norm
11.1,1350677463,420,3215898.7,3003398.0,2444176,36766223,1753671.0,PushPop,:kiln/gdn/conv
9.8,1185001121,139,8525187.9,8558668.0,7005950,9415136,321200.6,PushPop,:kiln/attn/rope
7.9,957306682,139,6887098.4,236205.0,189690,122053219,27012146.6,PushPop,:kiln/kv/copy
6.2,748814092,420,1782890.7,1185455.5,954735,241855444,11752104.1,PushPop,:kiln/gdn/in_proj
3.0,366756803,1116,328635.1,339709.5,180750,559292,45337.1,PushPop,:kiln/residual
2.5,306184025,131,2337282.6,2351426.0,1892986,2875658,102327.6,PushPop,:kiln/attn/full/decode_fused
2.3,275879263,420,656855.4,656755.5,527095,861985,28536.2,PushPop,:kiln/gdn/head_expand
1.8,214629516,558,384640.7,390345.0,201982,862473,46778.0,PushPop,:kiln/mlp/gate
1.8,214201339,558,383873.4,389367.0,198769,589602,44063.5,PushPop,:kiln/mlp/up
1.7,207458401,558,371789.2,374002.0,231385,1009141,43583.1,PushPop,:kiln/mlp/down
1.3,161706986,420,385016.6,382767.0,225658,1118932,59668.9,PushPop,:kiln/gdn/out_proj
1.1,133237021,139,958539.7,972684.0,669920,1201205,81251.5,PushPop,:kiln/proj/qkv
1.0,126492847,559,226284.2,208198.0,170833,9076334,375466.0,PushPop,:kiln/norm/pre_attn
1.0,116567992,558,208903.2,207220.0,163709,434345,17921.5,PushPop,:kiln/norm/pre_mlp
1.0,115385709,396,291378.1,289528.0,218185,493012,22446.7,PushPop,:kiln/attn/gdn/recurrent
0.8,92278277,139,663872.5,663774.0,521856,877630,37556.1,PushPop,:kiln/proj/qkv_split
0.7,87406900,8,10925862.5,4304931.5,4019244,57487946,18814578.6,PushPop,:kiln/attn/full/prefill
0.5,59706613,420,142158.6,141010.0,109302,326020,12553.5,PushPop,:kiln/gdn/recur_prep
0.5,56187284,139,404225.1,403615.0,327348,466891,19210.6,PushPop,:kiln/attn/qk_norm
0.4,52897322,139,380556.3,382243.0,265398,605107,38410.4,PushPop,:kiln/proj/o
0.4,45674446,192,237887.7,230442.5,185918,978411,61913.1,PushPop,:kiln/attn/gdn/chunk
0.2,26749054,420,63688.2,8451.0,6146,1041827,224824.3,PushPop,:kiln/gdn/qkv_split
0.1,13708020,17,806354.1,703654.0,658117,2201896,363338.3,PushPop,:kiln/lm_head
0.1,9200375,139,66189.7,7124.0,5657,1153993,239151.4,PushPop,:kiln/attn/qkv_transpose
0.0,3196014,396,8070.7,7613.0,5658,39251,2352.4,PushPop,:kiln/attn/gdn/precopy
0.0,3064157,420,7295.6,7054.0,4749,43092,2399.0,PushPop,:kiln/gdn/post_transpose
0.0,936154,131,7146.2,7054.0,5168,11454,970.4,PushPop,:kiln/attn/q_fa_transpose


