NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
,,14977,14977,0,13545,247843228,18297.8,2848.0,1888,97457036,839563.5,ucopy_bf16
,,14977,14977,0,192,67398284,351032.7,350385.5,349730,379650,3618.2,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
,,14977,14977,0,8096,45540809,5625.1,1952.0,1343,59041,7799.0,bmul_bf16
,,14977,14977,0,204,21664001,106196.1,106145.0,103361,116481,1406.8,fast_argmax_f32
,,14977,14977,0,4416,16456098,3726.5,3520.0,3391,5792,560.0,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
,,14977,14977,0,2352,13940438,5927.1,5920.0,5696,6944,109.8,cast_f32_bf16
,,14977,14977,0,3600,10876907,3021.4,3072.0,2783,3456,212.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x1_nn_align2>(T1::Params)
,,14977,14977,0,2556,10708850,4189.7,4288.0,3009,7040,348.5,cast_bf16_f32
,,14977,14977,0,1824,9028912,4950.1,4960.0,4863,5312,41.9,badd_bf16
,,14977,14977,0,1800,7112684,3951.5,3937.0,3840,4256,34.4,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align2>(T1::Params)
,,14977,14977,0,3136,7075558,2256.2,1824.0,1632,47488,4573.3,uneg_bf16
,,14977,14977,0,3136,6632383,2114.9,1696.0,1407,49120,4757.7,uexp_bf16
,,14977,14977,0,3136,6025419,1921.4,1440.0,1375,49920,4853.4,urecip_bf16
,,14977,14977,0,3136,5794653,1847.8,1376.0,1280,47520,4625.2,affine_bf16
,,14977,14977,0,216,870246,4028.9,4320.0,1600,4512,843.2,copy2d_bf16
