PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
14977,14977,0,16,16,24790266.2,28805662.5,9968009,29074446,7416777.5,28226.8,35185.0,3900,39930,13822.2,24728651.2,28738201.5,9927245,29007361,7403428.4,33388.2,33407.5,32992,33825,280.6,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_nn
14977,14977,0,96,94,22770578.2,28316288.0,282857,29085424,9666066.9,12866.6,4430.0,3700,190809,22304.0,22974296.1,28020927.5,40848,28859585,9179309.3,262121.4,293233.0,196865,296290,46168.7,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params)
14977,14977,0,88,88,22641872.8,28074861.0,110464,29191708,9841451.6,15420.2,7915.0,3910,39290,12877.2,22415999.8,27879410.0,529,28999243,9829327.1,210452.8,160144.0,99552,344097,104038.7,cudaLaunchKernel,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn
14977,14977,0,192,192,22090925.9,28009206.0,575331,28280125,9541923.5,6014.8,3975.0,3480,375399,26802.5,21733878.4,27653658.0,868,27925921,9546015.5,351032.7,350385.5,349730,379650,3618.2,cudaLaunchKernel,"<unnamed>::gdn_full_chunk_forward_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
14977,14977,0,72,72,21986191.0,27634214.0,9109,27924454,9321181.9,4367.8,4295.0,3230,6970,700.3,21977987.7,27626101.0,827,27916670,9321294.2,3835.5,3455.5,3200,4928,703.5,cuLaunchKernel,void cutlass::Kernel2<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params)
14977,14977,0,48,48,21754623.2,28756036.0,12202,29088649,10825576.2,23337.0,28559.5,3830,43670,15469.3,21724245.5,28708263.5,840,29051765,10813390.2,7040.8,6912.0,5024,9216,1911.1,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x64_32x10_nn_align8>(T1::Params)
14977,14977,0,4416,4324,4033097.0,10518.5,8002,27969682,9387053.4,4173.9,3940.0,3060,183010,2893.9,4110857.3,2548.0,23,27959452,9467475.5,3726.5,3520.0,3391,5792,560.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_64x1_nn_align8>(T1::Params)
14977,14977,0,1934,1882,2662481.6,7259.0,5433,28186544,7799025.2,3225.5,3090.0,2360,27490,1123.1,2731021.3,2604.5,54,28174686,7892489.7,1683.3,1344.0,1279,7744,1045.1,cuLaunchKernel,copy2d_bf16
14977,14977,0,75,74,1892963.5,1890135.0,1805521,1944089,23916.4,4466.7,4200.0,3760,10910,1101.7,91463.4,87931.0,20362,138379,21448.2,1798260.7,1798187.0,1793930,1804106,2770.0,cuLaunchKernel,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x64_32x6_nn_align8>(T1::Params)
14977,14977,0,204,201,1690378.0,1939679.5,108560,29606989,2157942.7,3635.6,3455.0,3080,8360,764.9,1604159.4,1829854.0,1392,29486498,2164514.1,106196.1,106145.0,103361,116481,1406.8,cuLaunchKernel,fast_argmax_f32
14977,14977,0,21245,20705,1487935.7,7799.0,5963,97513784,5984641.2,4519.9,2990.0,2540,267079,17175.3,1503319.5,1808.0,0,28917887,6015057.6,18322.5,2880.0,1888,97457036,670590.5,cuLaunchKernel,ucopy_bf16
14977,14977,0,3308,3307,453765.8,117010.5,8924,29062961,2894454.5,7530.2,3570.0,2970,7667875,134681.2,444073.1,111313.0,2149,29008463,2877259.6,2296.8,1953.0,1375,3232,659.4,cudaLaunchKernel,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)"
14977,14977,0,3648,3646,420290.5,143716.5,5827,28451019,2702816.1,3100.9,2860.0,2340,275519,4605.4,415539.9,139326.5,1320,28398857,2700744.3,1878.1,1600.0,1375,55040,4312.9,cuLaunchKernel,copy2d_f32
14977,14977,0,784,783,368513.8,134994.5,63196,28202260,2489419.1,4157.2,3970.0,3640,28410,1144.8,334490.1,101023.0,30536,28135045,2487895.4,30294.5,30944.0,28064,63489,3676.9,cudaLaunchKernel,"void kiln_flash::flash_fwd_kernel<Flash_fwd_kernel_traits<(int)256, (int)64, (int)64, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)256, (int)64, (int)64, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0>(kiln_flash::Flash_fwd_params)"
14977,14977,0,9105,9042,304805.3,46352.0,7325,29000641,2509714.5,3392.3,3210.0,2740,49210,1389.5,298280.4,42890.5,17,28942357,2514243.1,5201.2,1888.0,1343,59041,7485.3,cuLaunchKernel,bmul_bf16
14977,14977,0,8246,8167,302871.1,10511.5,8195,29174504,2514856.4,3965.6,3650.0,2890,993817,10930.5,299039.3,3403.0,17,29154206,2525773.7,2740.0,1984.0,1760,16640,1698.8,cuLaunchKernel,badd_bf16
14977,14977,0,8463,8385,301874.0,80123.0,6189,29152502,2406751.8,4926.4,3830.0,2970,331759,15710.4,294334.6,74375.0,12,28896509,2406661.5,5336.2,6144.0,1631,22273,1902.6,cudaLaunchKernel,"<unnamed>::fused_rmsnorm_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, float)"
14977,14977,0,1824,1755,299711.4,11168.5,10772,27794322,2714975.9,3931.0,3770.0,3410,26890,951.3,301150.2,1375.0,43,27781793,2766960.3,6063.2,6016.0,5888,8769,309.6,cudaLaunchKernel,"void <unnamed>::gdn_chunk_scan_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
14977,14977,0,75,71,296402.6,9194.0,8830,1472450,473678.4,5576.7,4810.0,4470,31750,3306.6,305169.6,2431.0,755,1438716,480830.7,1977.2,1984.0,1951,2112,24.8,cudaLaunchKernel,"void gemvNSP_kernel<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (int)1, (int)32, (int)4, (int)1024, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T10)"
14977,14977,0,1824,1742,296374.9,7483.0,6897,27825858,2718115.9,4373.6,4220.0,3730,19250,812.4,303539.7,1098.0,30,27818804,2780587.6,2168.1,2176.0,2111,2529,42.5,cudaLaunchKernel,"void <unnamed>::gdn_chunk_prep_kernel<(int)64>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
