Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
12.8,574050739,2304,249154.0,239925.5,203041,3037169,70574.4,:kiln/gdn/gates
12.1,542993630,2304,235674.3,225955.5,199080,4534663,100043.2,:kiln/gdn/gated_norm
10.0,449794466,2304,195223.3,184586.0,167061,4962064,114905.4,:kiln/gdn/qk_norm
7.7,346976410,842,412086.0,392646.0,355271,1331724,83768.8,:kiln/attn/rope
7.7,346425707,2304,150358.4,70165.0,62220,161958130,3375670.0,:kiln/gdn/in_proj
4.7,210273807,74,2841537.9,1395363.5,1308003,99124885,11365046.7,:kiln/mtp/step
4.4,195037843,3146,61995.5,58375.5,28600,4193042,76495.7,:kiln/mlp/gate
4.2,189643893,3146,60281.0,57270.0,27281,1095103,26886.3,:kiln/mlp/up
4.1,185020512,3146,58811.4,54875.0,25500,2082115,44351.5,:kiln/mlp/down
3.1,139278149,592,235267.1,222210.5,204691,2944668,118585.2,:kiln/attn/full/prefill
3.0,134535469,1800,74741.9,66005.0,55500,5349154,126566.6,:kiln/attn/gdn/chunk_prep
2.5,111538189,2304,48410.7,56600.0,1350,489721,31223.1,:kiln/gdn/qkv_split
2.5,109845787,2304,47676.1,49825.0,18930,512832,20508.5,:kiln/gdn/conv
2.4,105278452,6292,16732.1,16240.0,11830,460751,7319.3,:kiln/residual
2.3,101654934,2304,44121.1,40020.0,33250,776413,29661.2,:kiln/gdn/head_expand
2.2,97698508,842,116031.5,113835.0,67950,422451,31797.6,:kiln/proj/qkv
1.6,71670411,3146,22781.4,20530.0,16710,5106095,90816.5,:kiln/norm/pre_mlp
1.4,61616386,2304,26743.2,23505.0,19990,165360,7728.5,:kiln/gdn/out_proj
1.4,60941832,3146,19371.2,17940.0,15200,1056773,20294.2,:kiln/norm/pre_attn
1.2,53192015,1800,29551.1,28455.0,23950,219081,6605.4,:kiln/attn/gdn/chunk
1.0,46774650,842,55551.8,34980.5,29300,16566706,569713.5,:kiln/attn/qk_norm
1.0,46633560,2304,20240.3,23310.0,440,224640,12854.4,:kiln/gdn/conv/layout
0.9,40053450,1800,22251.9,20380.5,17770,483562,13009.6,:kiln/gdn/conv/prefill_update
0.9,38898873,842,46198.2,43830.5,37570,263431,17604.0,:kiln/proj/qkv_split
0.8,36232619,74,489630.0,278995.5,262100,14469100,1649062.8,:kiln/attn/full/decode_fallback
0.8,36215172,8,4526896.5,245936.0,242291,34489886,12106876.8,:kiln/attn/full/prefill_initial
0.7,30716752,168,182837.8,177801.0,166091,283561,16723.6,:kiln/attn/full/decode_fused
0.6,25046250,2304,10870.8,9915.0,8460,709532,15232.3,:kiln/gdn/recur_prep
0.5,23404210,842,27796.0,24515.0,21020,222281,11225.9,:kiln/proj/o
0.3,14257964,768,18565.1,17665.0,15230,92790,4631.3,:kiln/kv/copy
0.3,12687370,504,25173.4,23860.0,19960,211571,9556.5,:kiln/attn/gdn/recurrent
0.3,11875391,842,14103.8,17990.0,430,46600,8624.7,:kiln/attn/qkv_transpose
0.2,10762093,504,21353.4,20250.5,17320,46920,3407.5,:kiln/gdn/conv/update
0.1,3059662,96,31871.5,24815.0,21880,364391,37784.8,:kiln/lm_head
0.1,2902338,74,39220.8,33825.5,29780,214901,24556.5,:kiln/mtp/fc
0.1,2732987,2304,1186.2,900.0,300,209170,4463.8,:kiln/gdn/post_transpose
0.1,2378774,74,32145.6,28515.5,26280,215021,21847.1,:kiln/mtp/lm_head
0.0,1879776,96,19581.0,17940.0,15700,84941,7730.0,:kiln/final_norm
0.0,1702876,74,23011.8,21415.0,18090,65710,6370.2,:kiln/mtp/pre_fc_norm_emb
0.0,1460323,74,19734.1,19030.0,17100,26400,1896.4,:kiln/mtp/final_layernorm
0.0,1299462,74,17560.3,16365.5,13920,39010,4075.4,:kiln/mtp/pre_fc_norm_hidden
0.0,991726,504,1967.7,1640.0,970,9140,1086.9,:kiln/attn/gdn/precopy
0.0,138832,168,826.4,700.0,280,2840,510.2,:kiln/attn/q_fa_transpose
