env_var,call_site_count,first_seen,via_env_flag_or_tristate,via_env_var,crates_touched
KILN_AGENT_RUN_TIMEOUT_SECS,2,crates/kiln-server/src/config.rs:6747,no,no,kiln-server
KILN_AGENT_SELF_IMPROVE_INTERVAL_HOURS,2,crates/kiln-server/src/config.rs:6748,no,no,kiln-server
KILN_ARENA_FORCE_ZERO,2,crates/kiln-tensor/src/capture_alloc.rs:157,no,yes,kiln-tensor
KILN_COMMIT,2,crates/kiln-server/src/execution_provenance.rs:169,no,yes,kiln-server;kiln-train
KILN_DISABLE_CUDA_FULL_ATTN_QKV_IN_PROJ,2,crates/kiln-model/src/backend/cuda.rs:54,no,yes,kiln-model
KILN_DISABLE_CUDA_GDN_AB_IN_PROJ,2,crates/kiln-model/src/backend/cuda.rs:61,no,yes,kiln-model
KILN_DISABLE_CUDA_GDN_PREFILL_AB_IN_PROJ,2,crates/kiln-model/src/backend/cuda.rs:66,no,yes,kiln-model
KILN_DISABLE_FUSED_GDN_DECODE,2,crates/kiln-model/src/backend/cuda.rs:228,no,yes,kiln-model
KILN_DISABLE_FUSED_L2_QK_NORM,2,crates/kiln-model/src/forward.rs:11184,no,yes,kiln-model
KILN_DISABLE_GDN_DECODE_UNEXPANDED_QK,2,crates/kiln-model/src/backend/cuda.rs:230,no,yes,kiln-model
KILN_DISABLE_GDN_FULL_CHUNK_FORWARD_MULTIBLOCK,2,crates/kiln-model/src/backend/cuda.rs:237,no,yes,kiln-model
KILN_DISABLE_ROCM_LONG_FLASH_ATTN,2,crates/kiln-model/src/tape_forward.rs:2005,yes,no,kiln-model
KILN_DISABLE_VULKAN_FULL_ATTN_QKV_BF16W_ROWS8,2,crates/kiln-vulkan-kernel/src/bin/vulkan_decode_microbench.rs:193,no,no,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_CHUNKWISE_SINGLE_SUBMIT,2,crates/kiln-vulkan-kernel/src/vk_ops/gdn_chunkwise.rs:1722,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_IN_PROJ_CONV_SPLIT_FUSION,2,crates/kiln-vulkan-kernel/src/bin/vulkan_decode_microbench.rs:335,no,no,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_QK_NORM_RECURRENT_FUSION,2,crates/kiln-vulkan-kernel/src/bin/vulkan_decode_microbench.rs:343,no,no,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_WEIGHTED_LM_HEAD_PREP,2,crates/kiln-model/src/forward.rs:984,no,no,kiln-model
KILN_ENABLE_NATIVE_VULKAN_RMSNORM,2,crates/kiln-tensor/src/ops/rmsnorm.rs:278,no,yes,kiln-model;kiln-tensor
KILN_ENABLE_VULKAN_GDN_IN_PROJ_CONV_SPLIT_FUSION,2,crates/kiln-vulkan-kernel/src/bin/vulkan_decode_microbench.rs:334,no,no,kiln-model;kiln-vulkan-kernel
KILN_GPU_MEMORY_GB,2,crates/kiln-server/src/config.rs:5511,no,no,kiln-server
KILN_GRAD_CHECKPOINT_SEGMENTS,2,crates/kiln-server/src/config.rs:5545,no,no,kiln-server
KILN_KEEP_PROJECTION_TRANSPOSES,2,crates/kiln-model/src/forward.rs:30421,no,no,kiln-model
KILN_KV_AUTOSCALE,2,crates/kiln-server/src/config.rs:5534,no,no,kiln-server
KILN_LOGIT_CACHE_DIR,2,crates/kiln-server/src/config.rs:5581,no,no,kiln-server
KILN_MEMORY_CUDA_GRAPHS,2,crates/kiln-server/src/config.rs:6759,no,no,kiln-server
KILN_MEMORY_GPU_MEMORY_GB,2,crates/kiln-server/src/config.rs:6761,no,no,kiln-server
KILN_MEMORY_KV_CACHE_FP8,2,crates/kiln-server/src/config.rs:6764,no,no,kiln-server
KILN_MEMORY_NUM_BLOCKS,2,crates/kiln-server/src/config.rs:6766,no,no,kiln-server
KILN_MEMORY_TRAINING_MEMORY_GB,2,crates/kiln-server/src/config.rs:6769,no,no,kiln-server
KILN_MEMORY_VULKAN_BUFFER_POOL_GB,2,crates/kiln-server/src/config.rs:6770,no,no,kiln-server
KILN_METAL_LORA_LINEAR_BENCH_ITERS,2,crates/kiln-model/src/forward.rs:30846,no,yes,kiln-model
