env_var,call_site_count,first_seen,via_env_flag_or_tristate,via_env_var,crates_touched
KILN_KV_CACHE_FP8,5,crates/kiln-server/src/config.rs:5540,no,no,kiln-server
KILN_MAX_BATCH_TOKENS,5,crates/kiln-server/src/config.rs:2405,no,no,kiln-server
KILN_MAX_PREFILL_LAYERS_PER_CYCLE,5,crates/kiln-server/src/config.rs:2533,no,no,kiln-server
KILN_MEMORY_FLOOR_GB,5,crates/kiln-server/src/config.rs:5527,no,no,kiln-server
KILN_MTP_DUMP_C14_POST_BLOCK,5,crates/kiln-model/src/mtp_debug.rs:1843,no,yes,kiln-model
KILN_REQUEST_LOG_DIR,5,crates/kiln-server/src/config.rs:5666,no,no,kiln-server
KILN_SLOW_REQUEST_WARN_SECS,5,crates/kiln-server/src/config.rs:5459,no,no,kiln-server
KILN_SPECULATIVE_METHOD,5,crates/kiln-server/src/config.rs:6811,no,no,kiln-server
KILN_STREAMING_PREFILL_LAST_TOKEN_LM_HEAD,5,crates/kiln-server/src/config.rs:6814,no,no,kiln-server
KILN_STREAM_STALL_GRACE_MS,5,crates/kiln-server/src/config.rs:2337,no,no,kiln-server
KILN_VK_GDN_CHUNK_PREP_BWD_CPU,5,crates/kiln-vulkan-kernel/src/vk_ops/gdn_chunk_bwd.rs:453,no,yes,kiln-vulkan-kernel
KILN_VK_NATIVE_TRAINING,5,crates/kiln-model/src/forward.rs:30420,no,no,kiln-model
KILN_VULKAN_DECODE_BATCH_ROWWISE_RETRY,5,crates/kiln-model/src/generate.rs:11916,no,no,kiln-model
KILN_ACCELERATOR_ROCM_GRAPH_CACHE_ENTRIES,4,crates/kiln-server/src/config.rs:6734,no,no,kiln-server
KILN_ACCELERATOR_ROCM_GRAPH_CACHE_MAX_BYTES,4,crates/kiln-server/src/config.rs:6735,no,no,kiln-server
KILN_AGENT_PI_BIN,4,crates/kiln-server/src/config.rs:6744,no,no,kiln-server
KILN_AGENT_PI_SESSIONS_DIR,4,crates/kiln-server/src/config.rs:6745,no,no,kiln-server
KILN_AGENT_RUNS_ACCESS,4,crates/kiln-server/src/config.rs:6746,no,no,kiln-server
KILN_CHAT_CONFIG_HASH_METADATA,4,crates/kiln-server/src/config.rs:5454,no,no,kiln-server
KILN_CHAT_PERFORMANCE_METADATA,4,crates/kiln-server/src/config.rs:5449,no,no,kiln-server
KILN_CHECKPOINT_INTERVAL,4,crates/kiln-server/src/config.rs:5571,no,no,kiln-server
KILN_DECODE_HOT_PATH_DEBUG_FALLBACK,4,crates/kiln-model/src/generate.rs:11304,yes,no,kiln-model
KILN_DISABLE_FAST_BATCHED_LINEAR_STATE_SCATTER,4,crates/kiln-model/src/forward.rs:25023,no,yes,kiln-model
KILN_DISABLE_FUSED_GDN_GATES,4,crates/kiln-model/src/backend/metal_config.rs:9,no,yes,kiln-model
KILN_DISABLE_RMSNORM_BACKWARD,4,crates/kiln-server/examples/phase10_rmsnorm_bench.rs:198,no,yes,kiln-model;kiln-server
KILN_DISABLE_RMSNORM_KERNEL,4,crates/kiln-server/examples/phase10_rmsnorm_bench.rs:365,no,yes,kiln-model;kiln-server
KILN_DROP_PROJECTION_ORIGINALS,4,crates/kiln-model/src/forward.rs:31127,no,yes,kiln-model
KILN_FOLD_REASONING_INTO_CONTENT,4,crates/kiln-server/src/config.rs:5444,no,no,kiln-server
KILN_LOG_FORMAT,4,crates/kiln-server/src/config.rs:5599,no,no,kiln-server
KILN_MEMORY_PROBE_MS,4,crates/kiln-server/src/config.rs:5528,no,no,kiln-server
KILN_MODEL_SNAPSHOT_DIR,4,crates/kiln-server/src/config.rs:5506,no,no,kiln-server
KILN_MTP_DUMP_B11_TAPS,4,crates/kiln-model/src/mtp_debug.rs:762,no,yes,kiln-model
KILN_MTP_DUMP_C41_LAYER1_TAPS,4,crates/kiln-model/src/mtp_debug.rs:924,no,yes,kiln-model
KILN_MTP_DUMP_C42_LAYER1_NORM_TAPS,4,crates/kiln-model/src/mtp_debug.rs:957,no,yes,kiln-model
KILN_MTP_DUMP_C43_LAYER1_PREWEIGHT_TAPS,4,crates/kiln-model/src/mtp_debug.rs:969,no,yes,kiln-model
KILN_MTP_DUMP_C44_LAYER1_F32_ROW_TAPS,4,crates/kiln-model/src/mtp_debug.rs:981,no,yes,kiln-model
KILN_MTP_DUMP_C45_LAYER1_ROW_TAPS,4,crates/kiln-model/src/mtp_debug.rs:993,no,yes,kiln-model
KILN_MTP_DUMP_C46_ROW_PROVENANCE,4,crates/kiln-model/src/mtp_debug.rs:1003,no,yes,kiln-model
KILN_MTP_DUMP_C7_SDPA,4,crates/kiln-model/src/mtp_debug.rs:1662,no,yes,kiln-model
KILN_MTP_DUMP_EARLY_HMAIN_SWEEP,4,crates/kiln-model/src/mtp_debug.rs:614,no,yes,kiln-model
KILN_MTP_DUMP_POS,4,crates/kiln-model/src/mtp_debug.rs:470,no,yes,kiln-model
KILN_MTP_DUMP_PRE_ROPE,4,crates/kiln-model/src/mtp_debug.rs:1461,no,yes,kiln-model
KILN_PREFIX_CACHE_MAX_ENTRIES,4,crates/kiln-server/src/config.rs:5609,no,no,kiln-server
KILN_REQUEST_LOG_COMPRESS,4,crates/kiln-server/src/config.rs:5677,no,no,kiln-server
KILN_ROCM_ATTENTION_COOPERATIVE_YIELD,4,crates/kiln-flash-attn/src/rocm_sdpa.rs:298,no,no,kiln-flash-attn
KILN_ROCM_FLASH_NATIVE_FFI_SYNC,4,crates/kiln-flash-attn/src/rocm_sdpa.rs:312,no,no,kiln-flash-attn
KILN_ROCM_FLASH_NATIVE_QUERY_TILE,4,crates/kiln-flash-attn/src/rocm_sdpa.rs:685,no,no,kiln-flash-attn
KILN_SERVER_DEFAULT_THINKING_ENABLED,4,crates/kiln-server/src/config.rs:6792,no,no,kiln-server
KILN_SERVER_DETERMINISTIC,4,crates/kiln-server/src/config.rs:6793,no,no,kiln-server
KILN_SERVER_EVAL_MODE,4,crates/kiln-server/src/config.rs:6794,no,no,kiln-server
KILN_SERVER_HOST,4,crates/kiln-server/src/config.rs:6796,no,no,kiln-server
KILN_SERVER_SERVING_PROFILE,4,crates/kiln-server/src/config.rs:6804,no,no,kiln-server
KILN_SERVER_TERMINAL_ACCESS,4,crates/kiln-server/src/config.rs:6808,no,no,kiln-server
KILN_SPECULATIVE_ENABLED,4,crates/kiln-server/src/config.rs:6810,no,no,kiln-server
KILN_TEST_FLAG_GIBBERISH,4,crates/kiln-core/src/env_flag.rs:127,yes,no,kiln-core
KILN_TRAINING_LOGIT_CACHE_DIR,4,crates/kiln-server/src/config.rs:6826,no,no,kiln-server
KILN_VULKAN_DEVICE,4,crates/kiln-vulkan-kernel/src/device.rs:134,no,yes,kiln-memory;kiln-vulkan-kernel
KILN_ACCELERATOR_ROCM_SYNCHRONIZATION_MODE,3,crates/kiln-server/src/config.rs:6738,no,no,kiln-server
KILN_ADAPTERS_LIBRARY_URL,3,crates/kiln-server/src/config.rs:6741,no,no,kiln-server
KILN_CP4_DEBUG,3,crates/kiln-train/src/opd.rs:5259,no,yes,kiln-autograd;kiln-train
KILN_DISABLE_CUDA_GDN_DECODE_QK_NORM_RECURRENT,3,crates/kiln-model/src/backend/cuda.rs:232,no,yes,kiln-model
KILN_DISABLE_CUDA_GDN_DECODE_QK_NORM_RECURRENT_RMSNORM,3,crates/kiln-model/src/backend/cuda.rs:234,no,yes,kiln-model
KILN_DISABLE_CUDA_GDN_PREFILL_GATES,3,crates/kiln-model/src/backend/cuda.rs:1552,no,yes,kiln-model
KILN_DISABLE_CUDA_LORA_DECODE_ADD,3,crates/kiln-model/src/backend/cuda.rs:235,no,yes,kiln-model
KILN_DISABLE_FUSED_CONV1D,3,crates/kiln-model/src/backend/metal_config.rs:6,no,yes,kiln-model
KILN_DISABLE_FUSED_GDN_GATED_RMS_NORM,3,crates/kiln-model/src/backend/vulkan_config.rs:41,no,yes,kiln-model
KILN_DISABLE_METAL_PAGED_ATTN_DECODE_CONTIGUOUS,3,crates/kiln-model/src/forward.rs:33327,no,yes,kiln-model
KILN_DISABLE_METAL_PAGED_KV_WRITE_TOKEN_MAJOR,3,crates/kiln-model/src/forward.rs:33328,no,yes,kiln-model
KILN_DISABLE_VULKAN_FULL_ATTN_QKV_BF16W_ROWS4,3,crates/kiln-vulkan-kernel/src/kernels.rs:226,no,yes,kiln-model;kiln-vulkan-kernel
KILN_DISABLE_VULKAN_GDN_IN_PROJ_BATCH_PAIR_QKV_Z,3,crates/kiln-vulkan-kernel/src/kernels.rs:391,no,yes,kiln-model;kiln-vulkan-kernel
