nvtx_range_name,call_site_count,first_seen
kiln/gdn_decode_qk_norm_gates_recurrent_bf16_kt,2,crates/kiln-model/src/backend/cuda.rs:1207
kiln/gdn_decode_qk_norm_gates_recurrent_rmsnorm_bf16_kt,2,crates/kiln-model/src/backend/cuda.rs:1422
kiln/gdn_forward_substitution_kt,2,crates/kiln-model/src/backend/cuda.rs:688
kiln/gdn_full_chunk_forward_kt,2,crates/kiln-model/src/backend/cuda.rs:846
kiln/gdn_full_chunk_forward_multiblock_kt,2,crates/kiln-model/src/backend/cuda.rs:835
kiln/gdn_gated_rms_norm_kt,2,crates/kiln-model/src/backend/cuda.rs:1629
kiln/gdn_gates_bf16_kt,2,crates/kiln-model/src/backend/cuda.rs:1574
kiln/gdn_recurrent_forward_kt,2,crates/kiln-model/src/backend/cuda.rs:734
kiln/gdn_solve_tri_transpose_f32_kt,2,crates/kiln-model/src/backend/cuda.rs:712
kiln/kv/copy,2,crates/kiln-model/src/forward.rs:18978
kiln/mlp/down_w8,2,crates/kiln-model/src/forward.rs:8297
kiln/mlp/gate_silu_hidden_mul_packed,2,crates/kiln-model/src/forward.rs:8312
kiln/muon_step_kt,2,crates/kiln-model/src/backend/cuda.rs:598
kiln/norm/pre_attn_batch_decode,2,crates/kiln-model/src/forward.rs:20850
kiln/norm/pre_mlp_batch_decode,2,crates/kiln-model/src/forward.rs:20884
kiln/sgd_step_kt,2,crates/kiln-model/src/backend/cuda.rs:478
kiln/abs_kt,1,crates/kiln-model/src/forward.rs:7435
kiln/add_scalar_kt,1,crates/kiln-model/src/forward.rs:7233
kiln/argmax_kt,1,crates/kiln-model/src/forward.rs:9263
kiln/attn/full/prefill,1,crates/kiln-model/src/forward.rs:19485
kiln/attn/full/prefill_head_major,1,crates/kiln-model/src/forward.rs:19459
kiln/attn/full/prefill_initial,1,crates/kiln-model/src/forward.rs:18951
kiln/attn/gdn/chunk_pre_permute,1,crates/kiln-model/src/forward.rs:10730
kiln/attn/gdn/chunk_prep,1,crates/kiln-model/src/forward.rs:10872
kiln/attn/gdn/precopy,1,crates/kiln-model/src/forward.rs:10634
kiln/attn/gdn/recurrent,1,crates/kiln-model/src/forward.rs:10644
kiln/attn/output_gate_cuda_fused_kt,1,crates/kiln-model/src/forward.rs:1371
kiln/attn/output_gate_fused,1,crates/kiln-model/src/forward.rs:1351
kiln/attn/paged_decode_contiguous,1,crates/kiln-model/src/forward.rs:17326
kiln/attn/qk_norm,1,crates/kiln-model/src/forward.rs:18887
kiln/attn/qkv_prep_gpu_fused,1,crates/kiln-model/src/forward.rs:18805
kiln/attn/qkv_transpose,1,crates/kiln-model/src/forward.rs:18929
kiln/attn/rope,1,crates/kiln-model/src/forward.rs:18902
kiln/batched_decode/norm/pre_attn,1,crates/kiln-model/src/forward.rs:24024
kiln/batched_decode/norm/pre_mlp,1,crates/kiln-model/src/forward.rs:24122
kiln/batched_decode/residual/attn,1,crates/kiln-model/src/forward.rs:24118
kiln/batched_decode/residual/mlp,1,crates/kiln-model/src/forward.rs:24137
kiln/cat_dim0_kt,1,crates/kiln-model/src/forward.rs:7098
kiln/cat_dim1_kt,1,crates/kiln-model/src/forward.rs:7147
kiln/cat_dim2_kt,1,crates/kiln-model/src/forward.rs:7196
kiln/concat_last_dim_kt,1,crates/kiln-model/src/forward.rs:7048
kiln/cos_kt,1,crates/kiln-model/src/forward.rs:7502
kiln/exp_kt,1,crates/kiln-model/src/forward.rs:7536
kiln/flash_attn_head_major_kt,1,crates/kiln-model/src/backend/rocm.rs:447
kiln/flash_attn_paged_decode_dyn_seqlen_kt_with_graph_outputs,1,crates/kiln-model/src/forward.rs:17543
kiln/gdn/conv,1,crates/kiln-model/src/forward.rs:13476
kiln/gdn/conv/layout,1,crates/kiln-model/src/forward.rs:13486
kiln/gdn/conv/prefill_update,1,crates/kiln-model/src/forward.rs:13618
kiln/gdn/conv/update,1,crates/kiln-model/src/forward.rs:13576
kiln/gdn/gated_norm,1,crates/kiln-model/src/forward.rs:14829
kiln/gdn/gates_recur_gated_norm,1,crates/kiln-model/src/forward.rs:14195
kiln/gdn/head_expand_recur_fallback,1,crates/kiln-model/src/forward.rs:14430
kiln/gdn/in_proj,1,crates/kiln-model/src/forward.rs:13277
