Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
14.5,714127439,3096,230661.3,221454.0,200148,7092476,143277.3,:kiln/gdn/gates
13.9,682492736,3096,220443.4,215073.5,198199,826865,36140.0,:kiln/gdn/gated_norm
11.9,583213195,3096,188376.4,182634.0,167529,4813710,112048.2,:kiln/gdn/qk_norm
9.5,466361693,3096,150633.6,91005.0,81559,174141070,3129723.0,:kiln/gdn/in_proj
8.3,410117143,1032,397400.3,387973.0,358278,3946565,116582.6,:kiln/attn/rope
5.0,247761110,4128,60019.6,58740.0,51380,820325,15889.7,:kiln/mlp/gate
5.0,247014259,4128,59838.7,57980.0,51030,362478,15586.2,:kiln/mlp/up
4.7,229582511,4128,55615.9,54390.0,48190,373618,11155.8,:kiln/mlp/down
3.8,188646569,1024,184225.2,181634.0,166119,439557,18332.6,:kiln/attn/full/decode_fused
2.9,142385710,3096,45990.2,45019.0,35560,996124,19973.5,:kiln/gdn/head_expand
2.7,135069630,8256,16360.2,16240.0,11880,310918,5402.4,:kiln/residual
2.4,118543757,1032,114868.0,113434.0,96039,298898,8586.1,:kiln/proj/qkv
2.3,112844694,3096,36448.5,35690.0,23850,309468,8115.8,:kiln/gdn/out_proj
1.8,86942012,4128,21061.5,20610.0,17230,67500,2255.4,:kiln/norm/pre_mlp
1.6,78699750,4128,19064.9,18104.5,15470,1129334,18146.2,:kiln/norm/pre_attn
1.6,78663097,3096,25408.0,24164.5,19400,292548,8017.0,:kiln/gdn/conv
1.6,77031876,3072,25075.5,23920.0,20840,1710239,31084.5,:kiln/attn/gdn/recurrent
1.4,66829066,3072,21754.3,20910.0,17650,222639,5231.3,:kiln/gdn/conv/update
1.0,46851920,1032,45399.1,44679.0,38940,249299,7442.0,:kiln/proj/qkv_split
0.8,40304662,8,5038082.8,956464.0,245979,35014655,12116603.7,:kiln/attn/full/prefill_initial
0.8,37243766,1032,36088.9,35650.0,25140,219639,6528.7,:kiln/proj/o
0.7,35343963,1032,34248.0,33474.5,30220,72230,3151.8,:kiln/attn/qk_norm
0.7,33577517,3096,10845.5,10110.0,8550,219279,5839.9,:kiln/gdn/recur_prep
0.4,18864344,1032,18279.4,17350.0,15380,112860,4458.4,:kiln/kv/copy
0.2,7743976,3096,2501.3,1880.0,1370,155719,5480.9,:kiln/gdn/qkv_split
0.1,7271021,129,56364.5,53410.0,49780,362468,27439.8,:kiln/lm_head
0.1,6084950,3072,1980.8,1790.0,970,18080,793.7,:kiln/attn/gdn/precopy
0.1,4229849,3096,1366.2,940.0,440,71680,2658.0,:kiln/gdn/conv/layout
0.1,4086745,24,170281.0,260708.5,26770,282888,117765.7,:kiln/attn/gdn/chunk
0.1,2970634,3096,959.5,750.0,330,9180,655.2,:kiln/gdn/post_transpose
0.0,2043189,24,85132.9,69485.0,63490,398257,67152.0,:kiln/attn/gdn/chunk_prep
0.0,2001139,1032,1939.1,840.0,410,183879,12515.8,:kiln/attn/qkv_transpose
0.0,917835,1024,896.3,660.0,280,13830,914.6,:kiln/attn/q_fa_transpose
0.0,863963,1024,843.7,655.0,190,6440,740.2,:kiln/attn/paged_decode_contiguous
0.0,757585,24,31566.0,22175.0,20580,210378,38441.0,:kiln/gdn/conv/prefill_update
