Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Range
30.6,30240248227,126080,239849.7,16758.0,11509,5226441,295437.1,:kiln/residual
19.7,19438138820,63040,308346.1,166498.5,149573,8040322941,32023200.9,:kiln/norm/pre_attn
17.4,17224433097,63040,273230.2,240176.0,150926,6196866,300668.0,:kiln/norm/pre_mlp
15.2,15040300402,63040,238583.4,363241.5,38395,53592499,279844.4,:kiln/mlp/up
5.1,5032735252,63040,79834.0,50565.5,39853,4524977,131054.4,:kiln/mlp/down
4.4,4354039628,63040,69067.9,55348.0,42371,587840204,2343469.1,:kiln/mlp/gate
2.4,2366192905,15760,150139.1,141097.0,114647,4530418,160647.8,:kiln/proj/qkv
2.3,2233927702,15760,141746.7,139331.0,43555,5960332,143784.2,:kiln/proj/o
1.6,1571505547,46464,33822.0,31379.0,27494,4805744,78930.0,:kiln/attn/gdn/recurrent
0.5,492393778,1970,249946.1,221794.0,200311,6072905,317746.3,:kiln/lm_head
0.3,311083178,512,607584.3,683284.5,157955,752266,183395.3,:kiln/attn/full/decode_fused
0.2,212769425,6528,32593.4,25006.5,21811,4316821,74596.9,:kiln/attn/gdn/chunk
0.2,155915164,520,299836.9,27461.0,25247,17901212,2176668.4,:kiln/kv/copy
0.1,94054277,46464,2024.2,1962.0,1487,27142,496.7,:kiln/attn/gdn/precopy
0.0,28375902,8,3546987.8,280210.0,264144,25140824,8737412.6,:kiln/attn/full/prefill
